gene_symbol,Toporsl
mouse_life_stage,Early adult
analysis_id,sxq2a4f068718t6
parameter_id,IMPC_CSD_012_001
gene_accession_id,MGI:1915524
pvalue,0.3222718
mouse_strain,C57BL
parameter_name,Coat - hair distribution - head
