gene_symbol,Opn3
mouse_life_stage,Early adult
parameter_name,Initial response to glucose challenge
mouse_strain,C57BL
gene_accession_id,MGI:1338022
pvalue,0.8414627
analysis_id,w21zvcfdjlvp3s2
parameter_id,IMPC_IPG_011_001
