gene_symbol,Dnaaf9
mouse_life_stage,Early adult
pvalue,0.3715109
gene_accession_id,MGI:1923029
parameter_id,IMPC_CBC_016_001
parameter_name,HDL-cholesterol
analysis_id,a3b945q404y5m1y
mouse_strain,C57BL
