gene_symbol,Dmap1
gene_accession_id,MGI:1913483
parameter_id,MGP_PBI_034_001
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,B cell number
pvalue,0.2226892
analysis_id,fhbcr4sz3741t6a
