analysis_id,c3983561wz174nv
pvalue,0.2051106
parameter_name,eye size
gene_accession_id,MGI:106659
mouse_life_stage,Early adult
gene_symbol,Sprr1b
mouse_strain,C57BL
parameter_id,ESLIM_001_001_117
