gene_symbol,Nr0b2
analysis_id,p326v5pv267bfrv
parameter_id,IMPC_ACS_033_001
mouse_strain,B6J
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - PPI1
pvalue,0.8168026
gene_accession_id,MGI:1346344
