gene_symbol,Npbwr1
parameter_name,Periphery average speed
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
analysis_id,7cs8l28598484yz
parameter_id,HRWLLA_OFD_013_001
mouse_strain,C57BL
pvalue,0.8285218
