parameter_name,NK cell number
mouse_strain,C57BL
analysis_id,47q8fkzs38sm7u9
parameter_id,MGP_PBI_027_001
pvalue,0.8638255
gene_accession_id,MGI:1914515
mouse_life_stage,E9.5
gene_symbol,Slc39a10
