parameter_id,JAX_TLS_001_001
pvalue,0.7014301
gene_accession_id,MGI:2446274
analysis_id,rn0h7c5766e069g
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Frmpd1
parameter_name,Time immobile
