gene_symbol,Gfi1b
parameter_id,MGP_PBI_040_001
mouse_strain,C57BL
gene_accession_id,MGI:1276578
parameter_name,Eosinophil number
pvalue,0.7511387
analysis_id,28j7v3547nx8pp9
mouse_life_stage,Early adult
