mouse_strain,129SV
parameter_id,IMPC_XRY_067_001
mouse_life_stage,Early adult
parameter_name,Caudal processes
pvalue,0.7743351
analysis_id,vq5je018r188hz9
gene_symbol,Inpp1
gene_accession_id,MGI:104848
