gene_symbol,Cntfr
gene_accession_id,MGI:99605
analysis_id,9c1bp61e55v92g7
mouse_strain,129SV
pvalue,0.7324127
parameter_id,HRWLLA_FEA_015_001
mouse_life_stage,Early adult
parameter_name,Cue Baseline % Freezing Time
