parameter_name,Heart weight
pvalue,0.6289398
analysis_id,jjg3bk8q77z74p9
gene_accession_id,MGI:1336200
mouse_life_stage,Middle aged adult
gene_symbol,Hpca
mouse_strain,C57BL
parameter_id,HMGULA_HWT_008_001
