parameter_name,Lens Opacity
analysis_id,vcg72b4h1u2657z
pvalue,0.5744198
parameter_id,IMPC_EYE_017_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1922082
gene_symbol,Slc45a3
