analysis_id,w7t1r25zsfe9u3o
parameter_name,Global prepulse inhibition
gene_accession_id,MGI:2684980
mouse_strain,C57BL
parameter_id,ESLIM_011_001_705
pvalue,0.1048334
gene_symbol,Mms22l
mouse_life_stage,Early adult
