parameter_name,Hindlimbs - size
mouse_strain,C57BL
pvalue,0.2588542
analysis_id,996z78x86e7sgw6
gene_accession_id,MGI:1924315
gene_symbol,Ints7
mouse_life_stage,E9.5
parameter_id,JAXLA_CSD_022_001
