pvalue,0.945334
gene_symbol,Secisbp2l
parameter_id,ESLIM_011_001_006
gene_accession_id,MGI:1917604
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_name,110dB startle magnitude
analysis_id,7564k93zv2dl14b
