analysis_id,q543e6y64pe8om8
parameter_id,ESLIM_011_001_704
gene_symbol,Ahctf1
mouse_life_stage,Early adult
pvalue,0.4244589
mouse_strain,C57BL
parameter_name,Prepulse inhibition - PP4
gene_accession_id,MGI:1915033
