parameter_id,MGP_MLN_010_001
gene_accession_id,MGI:1931322
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8923854
analysis_id,1k1b69dobvlunyg
parameter_name,Resting Treg cells - % of Treg
gene_symbol,Car13
