analysis_id,cmk50366jwny9vx
parameter_name,Effector CD8+ T cells - % of CD8+
gene_symbol,Slc2a8
pvalue,0.8936589
gene_accession_id,MGI:1860103
parameter_id,MGP_MLN_013_001
mouse_life_stage,Early adult
mouse_strain,C57BL
