parameter_name,Latency to center entry
parameter_id,IMPC_OFD_018_001
analysis_id,6t40y5r08jn23g0
gene_symbol,Slc28a2
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913105
pvalue,0.9697896
