gene_symbol,Abo
gene_accession_id,MGI:2135738
parameter_id,IMPC_EYE_017_001
mouse_strain,C57BL
pvalue,0.1142397
mouse_life_stage,Early adult
analysis_id,y798l6743dg7kgj
parameter_name,Lens Opacity
