parameter_name,Chloride
pvalue,0.9880239
mouse_life_stage,Early adult
analysis_id,gyj50zz2hk4096b
mouse_strain,C57BL
gene_symbol,Slc2a8
gene_accession_id,MGI:1860103
parameter_id,HMGULA_CBC_003_001
