analysis_id,2w826058qx6h1j4
pvalue,0.5639163
mouse_life_stage,Early adult
gene_accession_id,MGI:1914050
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
parameter_id,MGP_PBI_030_001
mouse_strain,C57BL
gene_symbol,Trp53rkb
