gene_symbol,Ubxn11
parameter_name,Coat - hair distribution - head
parameter_id,IMPC_CSD_012_001
gene_accession_id,MGI:1914836
analysis_id,28ai8zsb0m35e86
mouse_strain,C57BL
pvalue,0.5912858
mouse_life_stage,Early adult
