analysis_id,w4509h016809oji
parameter_name,Retina (combined)
gene_symbol,Nemp2
parameter_id,IMPC_EYE_092_002
mouse_life_stage,Early adult
gene_accession_id,MGI:2444113
mouse_strain,C57BL
pvalue,0.6241548
