analysis_id,1l17jpw79khdgbp
parameter_name,B2B Cells
gene_symbol,AHCTF1
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915033
parameter_id,IMPC_IMM_065_001
pvalue,0.3709615
