gene_symbol,Sass6
gene_accession_id,MGI:1920026
parameter_name,Resting NK cells - % of CD45+
pvalue,0.5262875
mouse_life_stage,E12.5
parameter_id,MGP_IMM_100_001
mouse_strain,C57BL
analysis_id,k1wk75831cx879u
