gene_symbol,Arpc5l
parameter_name,Spleen weight
pvalue,0.5603312
mouse_life_stage,Early adult
parameter_id,UCD_OWT_003_001
analysis_id,f5809b31p254oee
mouse_strain,C57BL
gene_accession_id,MGI:1921442
