analysis_id,8ok19d58yyo59yj
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
parameter_name,Time mobile dark side
gene_symbol,Zcchc2
pvalue,0.8906022
parameter_id,JAX_LDT_005_001
mouse_strain,C57BL
