gene_symbol,Zc2hc1a
analysis_id,623xt4kh2ivrc7z
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_CSD_064_001
gene_accession_id,MGI:1914556
pvalue,0.4816677
parameter_name,Head morphology
