gene_symbol,Kdm4c
analysis_id,l49k0xw55a14h99
parameter_id,MGP_PBI_034_001
gene_accession_id,MGI:1924054
pvalue,0.5039882
parameter_name,B cell number
mouse_life_stage,Early adult
mouse_strain,C57BL
