analysis_id,yxri198033965w9
parameter_id,MGP_PBI_011_001
pvalue,0.5469421
parameter_name,KLRG1+ mature NK cell percentage
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
mouse_strain,C57BL
mouse_life_stage,Early adult
