gene_symbol,Sgip1
mouse_strain,C57BL
parameter_name,Resting CD8+ T cells - % of CD8+
pvalue,0.6233358
mouse_life_stage,Early adult
analysis_id,g1vf00j74p81y46
gene_accession_id,MGI:1920344
parameter_id,MGP_IMM_015_001
