analysis_id,yg53252qb8sy8br
gene_symbol,Fgb
parameter_name,Effector NK cells - % of CD45+
pvalue,0.8478785
mouse_life_stage,E15.5
mouse_strain,C57BL
gene_accession_id,MGI:99501
parameter_id,MGP_IMM_099_001
