gene_symbol,Cdin1
parameter_name,Vibrissae - appearance
analysis_id,4990q0758q493aa
gene_accession_id,MGI:3026886
mouse_life_stage,E9.5
parameter_id,HMGULA_DYS_024_001
mouse_strain,C57BL
pvalue,0.907022
