analysis_id,15a380198n56146
gene_symbol,Gpbp1l1
pvalue,0.1549886
parameter_name,Large Unstained Cell (LUC) count
mouse_life_stage,Early adult
gene_accession_id,MGI:1924360
mouse_strain,C57BL
parameter_id,IMPC_HEM_039_001
