parameter_name,Creatinine
mouse_strain,C57BL
parameter_id,HMGULA_CBC_005_001
gene_symbol,Arpc5l
analysis_id,4h7c37m5ux4u06t
mouse_life_stage,Early adult
pvalue,0.06234586
gene_accession_id,MGI:1921442
