gene_symbol,Ncaph
mouse_strain,C57BL
parameter_id,IMPC_ECG_005_001
mouse_life_stage,Early adult
parameter_name,PQ
analysis_id,k7g97672ia5dy5x
pvalue,0.4305964
gene_accession_id,MGI:2444777
