gene_symbol,Ninl
pvalue,0.6803657
mouse_life_stage,Early adult
mouse_strain,129SV
analysis_id,p1230262xnybyn3
gene_accession_id,MGI:1925427
parameter_name,Center permanence time
parameter_id,JAX_OFD_016_001
