parameter_id,IMPC_GPP_004_001
gene_accession_id,MGI:1913483
analysis_id,95rr815616t7k89
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Dmap1
parameter_name,Placenta Size
pvalue,0.6560723
