parameter_name,NK cell number
analysis_id,94pm83uhrbllv61
gene_symbol,Dmap1
mouse_strain,C57BL
pvalue,0.7565807
gene_accession_id,MGI:1913483
parameter_id,MGP_PBI_027_001
mouse_life_stage,E12.5
