analysis_id,e66uhb26107i309
gene_symbol,Traf6
mouse_strain,C57BL
gene_accession_id,MGI:108072
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_015_001
parameter_name,Total cholesterol
pvalue,0.9424374
