parameter_id,IMPC_GPO_002_001
pvalue,0.951728
mouse_life_stage,Early adult
gene_symbol,Fpgs
parameter_name,Placenta Morphology
analysis_id,xfp8g1pq7784239
gene_accession_id,MGI:95576
mouse_strain,C57BL
