gene_symbol,Arpc2
analysis_id,42zn1jy8rzri5qc
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_008_001
parameter_name,Corneal opacity
pvalue,0.4935824
