gene_symbol,Tbl1xr1
parameter_name,Stroke Volume
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_003_001
gene_accession_id,MGI:2441730
analysis_id,a542ihogx82yg5y
pvalue,0.9682023
