parameter_name,Mean-cell-volume
parameter_id,M-G-P_016_001_005
pvalue,0.9946309
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:109585
analysis_id,xdj15y60jg436dt
gene_symbol,Pld1
