analysis_id,i789826z250d016
gene_symbol,Morn5
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
mouse_strain,C57BL
parameter_id,JAXLA_OFD_020_001
pvalue,0.5653998
parameter_name,Distance travelled - total
