gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
parameter_name,Aggression
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,r3y3ll6wf9d514t
parameter_id,IMPC_CSD_079_001
pvalue,0.8558589
