parameter_name,Lower teeth appearance
parameter_id,IMPC_CSD_070_001
gene_accession_id,MGI:2140475
mouse_life_stage,Late adult
gene_symbol,AU040320
mouse_strain,C57BL
analysis_id,9saexa6dodfy572
pvalue,0.2654736
