parameter_id,IMPC_ECH_002_001
parameter_name,End-Diastolic Diameter
pvalue,0.1992802
analysis_id,257wy80n2iau4e6
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
