parameter_name,Liver weight
pvalue,0.8870283
analysis_id,773j9si1642fu36
gene_accession_id,MGI:3045306
parameter_id,UCD_OWT_008_001
gene_symbol,Exd1
mouse_life_stage,Early adult
mouse_strain,C57BL
