analysis_id,2b361ntr78l24w2
gene_symbol,Ntmt2
mouse_strain,C57BL
parameter_id,MGP_IMM_071_001
pvalue,0.4457027
parameter_name,Total CD4+ T cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
