gene_symbol,S100a3
gene_accession_id,MGI:1338849
mouse_life_stage,Early adult
pvalue,0.08196579
parameter_name,Body weight
mouse_strain,C57BL
parameter_id,M-G-P_009_001_003
analysis_id,92dt3g2em88c63f
