gene_symbol,Secisbp2l
parameter_name,Femur
gene_accession_id,MGI:1917604
pvalue,0.5530031
mouse_strain,C57BL
analysis_id,608j595l5x35j9c
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_024_001
