parameter_name,Neural tube closure
mouse_life_stage,Early adult
pvalue,0.9798192
gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
parameter_id,IMPC_GEL_027_001
analysis_id,fgv638851n0wbi7
mouse_strain,129SV
