gene_symbol,Ints7
parameter_id,IMPC_HEM_029_001
mouse_life_stage,E9.5
parameter_name,Neutrophil differential count
mouse_strain,C57BL
analysis_id,kout2tm7908si63
gene_accession_id,MGI:1924315
pvalue,0.1622116
