parameter_name,Body Weight
gene_accession_id,MGI:1924315
mouse_strain,C57BL
gene_symbol,Ints7
analysis_id,n095pk3r26ocj43
mouse_life_stage,E9.5
parameter_id,M-G-P_020_001_001
pvalue,0.1359854
