analysis_id,7iln50jv4373c61
mouse_life_stage,Late adult
pvalue,0.4300012
mouse_strain,C57BL
parameter_name,Whole arena average speed
gene_symbol,AU040320
parameter_id,JAX_OFD_009_001
gene_accession_id,MGI:2140475
