analysis_id,f25v32ua4078721
pvalue,0.5291245
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:88479
parameter_name,CD11b-low cDC - % of cDC
parameter_id,MGP_IMM_067_001
gene_symbol,Cpa3
