parameter_id,IMPC_GEP_017_001
pvalue,0.6663978
gene_symbol,Slc28a2
mouse_life_stage,Early adult
parameter_name,Facial Morphology
mouse_strain,C55BL
gene_accession_id,MGI:1913105
analysis_id,42av6z0tu126p1r
