analysis_id,663j0z55hd1415w
parameter_name,Fusion of vertebrae
gene_accession_id,MGI:1919137
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5065988
parameter_id,M-G-P_006_001_026
gene_symbol,Ppm1j
