parameter_name,Liver weight
analysis_id,212huw8r1f5u1ml
pvalue,0.9898831
gene_symbol,Etfdh
parameter_id,UCD_OWT_008_001
mouse_strain,C57BL
gene_accession_id,MGI:106100
mouse_life_stage,Early adult
