analysis_id,9hwp2x9k30wk7ds
mouse_strain,C57BL
pvalue,0.8086166
gene_symbol,Pglyrp3
gene_accession_id,MGI:2685266
parameter_id,JAXLA_CSD_021_001
mouse_life_stage,Early adult
parameter_name,Hindlimbs - shape
